type,weight
transgenic,38.8
transgenic,39.0
transgenic,39.7
transgenic,40.0
transgenic,40.8
transgenic,40.9
transgenic,41.0
transgenic,41.0
transgenic,41.0
transgenic,42.5
transgenic,42.6
transgenic,43.0
transgenic,43.0
transgenic,43.4
transgenic,43.5
transgenic,43.5
transgenic,43.8
transgenic,44.4
transgenic,44.7
transgenic,44.7
transgenic,44.7
transgenic,45.3
transgenic,45.7
transgenic,45.8
transgenic,46.4
transgenic,46.5
transgenic,46.6
transgenic,46.7
transgenic,46.7
transgenic,46.8
transgenic,46.9
transgenic,47.1
transgenic,47.1
transgenic,47.1
transgenic,47.3
transgenic,47.6
transgenic,47.7
transgenic,48.1
transgenic,48.3
transgenic,49.3
transgenic,49.3
transgenic,49.8
transgenic,50.3
transgenic,50.9
transgenic,52.1
commercial,36.7
commercial,37.1
commercial,38.9
commercial,39.5
commercial,39.5
commercial,39.8
commercial,40
commercial,40.2
commercial,40.3
commercial,40.5
commercial,40.5
commercial,40.7
commercial,41.1
commercial,41.2
commercial,41.5
commercial,41.5
commercial,41.6
commercial,41.6
commercial,41.7
commercial,42.4
commercial,43.1
commercial,43.3
commercial,43.3
commercial,43.4
commercial,43.7
commercial,44.1
commercial,44.2
commercial,45.2
commercial,45.3
commercial,45.4
commercial,46.0
commercial,46.1
commercial,46.4
commercial,46.6
commercial,46.6
commercial,46.9
commercial,47.3
commercial,47.5
commercial,48.1
commercial,48.2
commercial,48.4
commercial,48.6
commercial,49.0
commercial,49.1
commercial,49.3
commercial,49.6
commercial,50.1
commercial,50.2
commercial,50.4
commercial,50.6
commercial,52.2
commercial,53.0
commercial,55.5
commercial,56.4
